idiom,pinyin,explanation
微不足道,wēi bù zú dào,微细，小；足值得；道谈起。微小得很，不值得一提。指意义、价值等小得不值得一提。
大有作为,dà yǒu zuò wéi,作为做出成绩。能够极大地发挥作用，作一番贡献。
良莠不齐,liáng yǒu bù qí,莠狗尾草，很象谷子，常混在禾苗中∶人坏人都有，混杂在一起。
令人瞩目,lìng rén zhǔ mù,瞩注视。使人注视。
迎刃而解,yíng rèn ér jiě,原意是说，劈竹子时，头上几节一破开，下面的顺着刀口自己就裂开了。比喻处理事情、解决问题很顺利。
从天而降,cóng tiān ér jiàng,降下落。比喻出于意外，突然出现。
不合时宜,bù hé shí yí,时宜当时的需要和潮流。不适合时代形势的需要。也指不合世俗习尚。
现身说法,xiàn shēn shuō fǎ,佛教用语。指佛力广大，能现出种种人相，向人说法。现指以亲身经历和体验为例来说明某种道理。
新陈代谢,xīn chén dài xiè,陈陈旧的；代替换；谢凋谢，衰亡。指生物体不断用新物质代替旧物质的过程。也指新事物不断产生发展，代替旧的事物。
声势浩大,shēng shì hào dà,声势声威和气势；浩广大。声威和气势非常壮大。
高高在上,gāo gāo zài shàng,原指地位高，现在形容领导者脱离实际，脱离群众。
合情合理,hé qíng hé lǐ,符合情理。
量力而行,liàng lì ér xíng,量估量；行行事。按照自己力量的大小去做，不要勉强。
不切实际,bù qiē shí jì,指不符合实际。
针锋相对,zhēn fēng xiāng duì,针锋针尖。针尖对针尖。比喻双方在策略、论点及行动方式等方面尖锐对立。
责无旁贷,zé wú páng dài,贷推卸。自己应尽的责任，不能推卸给旁人。
高瞻远瞩,gāo zhān yuǎn zhǔ,瞻视，望；瞩注视。站得高，看得远。比喻眼光远大。
千千万万,qiān qiān wàn wàn,形容为数极多。
明目张胆,míng mù zhāng dǎn,明目睁亮眼睛；张胆放开胆量。原指有胆识，敢做敢为◇形容公开放肆地干坏事。
连锁反应,lián suǒ fǎn yìng,连锁像锁链似的一环扣一环。比喻相关的事物发生相应的变化。
适得其反,shì dé qí fǎn,适正，恰好。恰恰得到与预期相反的结果。
摇身一变,yáo shēn yī biàn,旧时神怪小说中描写有神通的人能用法术一晃身子就改变自己本来的模样。现用来形容人不讲道义原则，一下子来个大改变。
跃跃欲试,yuè yuè yù shì,跃跃急于要行动的样子；欲要。形容急切地想试试。
聚精会神,jù jīng huì shén,会集中。原指君臣协力，集思广益◇形容精神高度集中。
承前启后,chéng qián qǐ hòu,承承接；启开创。承接前面的，开创后来的。指继承前人事业，为后人开辟道路。
杯水车薪,bēi shuǐ chē xīn,用一杯水去救一车着了火的柴草。比喻力量太小，解决不了问题。
一网打尽,yī wǎng dǎ jìn,比喻一个不漏地全部抓住或彻底肃清。
开花结果,kāi huā jié guǒ,原指经播种耕耘后有了收获。现比喻工作有进展，并取得了成果。
慷慨解囊,kāng kǎi jiě náng,慷慨豪爽，大方；解囊解开钱袋拿出钱来。形容极其大方地在经济上帮助别人。
素不相识,sù bù xiāng shí,素平素，向来。向来不认识。
长此以往,cháng cǐ yǐ wǎng,长期这样下去。
无可争辩,wú kě zhēng biàn,没有什么可争辨的。表示确实无疑。
格格不入,gé gé bù rù,格格阻碍，隔阂。形容彼此不协调，不相容。
蔚然成风,wèi rán chéng fēng,蔚然草木茂盛的样子。指一件事情逐渐发展盛行，形成一种良好风气。
生机勃勃,shēng jī bó bó,形容自然界充满生命力，或社会生活活跃。
吃苦耐劳,chī kǔ nài láo,耐禁受得住。能过困苦的生活，也经得起劳累。
昏迷不醒,hūn mí bù xǐng,神志昏沉，不省人事。
金字招牌,jīn zì zhāo pái,旧时店铺为显示资金雄厚而用金箔贴字的招牌。现比喻高人一等可以炫耀的名义或称号。也比喻名誉好。
大相径庭,dà xiāng jìng tíng,径小路；庭院子；径庭悬殊，偏激。比喻相差很远，大不相同。
堂而皇之,táng ér huáng zhī,堂皇官署的大堂，引申为气势盛大的样子。形容端正庄严或雄伟有气派。也指表面上庄严正大，堂堂正正，实际却不然。
如数家珍,rú shǔ jiā zhēn,好象数自己家藏的珍宝那样清楚。比喻对所讲的事情十分熟悉。
争先恐后,zhēng xiān kǒng hòu,抢着向前，唯恐落后。
浓墨重彩,nóng mò zhòng cǎi,用浓重的墨汁和颜色来描绘。形容着力描写。
大刀阔斧,dà dāo kuò fǔ,原指使用阔大的刀斧砍杀敌人◇比喻办事果断而有魄力。
惊慌失措,jīng huāng shī cuò,失措失去常态。由于惊慌，一下子不知怎么办才好。
所剩无几,suǒ shèng wú jǐ,剩余留下来的。剩下的没有多少了。
高官厚禄,gāo guān hòu lù,禄俸禄。泛指职位高，待遇优。
一心一意,yī xīn yī yì,只有一个心眼儿，没有别的考虑。
井然有序,jǐng rán yǒu xù,井然整齐不乱的样子。序次序。整整齐齐，次序分明，条理清楚。
一波三折,yī bō sān zhé,原指写字的笔法曲折多变。现比喻文章的结构起伏曲折。也比喻事情进行中意外的变化很多。
形迹可疑,xíng jì kě yí,举动和神色值得怀疑。
炙手可热,zhì shǒu kě rè,手摸上去感到热得烫人。比喻权势大，气焰盛，使人不敢接近。
身临其境,shēn lín qí jìng,临到；境境界，地方。亲自到了那个境地。
二话不说,èr huà bù shuō,不说任何别的话。指立即行动。
流连忘返,liú lián wàng fǎn,流连留恋不止。玩乐时留恋不愿离开。留恋得忘记了回去。
热泪盈眶,rè lèi yíng kuàng,盈充满；眶眼眶。因感情激动而使眼泪充满了眼眶，形容感动至极或非常悲伤。
销声匿迹,xiāo shēng nì jì,销通消”，消失；匿隐藏；迹踪迹。指隐藏起来，不公开露面。
打击报复,dǎ jī bào fù,打击攻击。用敌对的态度回击对方。
尽心尽力,jìn xīn jìn lì,指费尽心力。
一以贯之,yī yǐ guàn zhī,贯贯穿。用一个根本性的事理贯通事情的始末或全部的道理。
恍然大悟,huǎng rán dà wù,恍然猛然清醒的样子；悟心里明白。形容一下子明白过来。
置之不理,zhì zhī bù lǐ,之代词，它；理理睬。放在一边，不理不睬。
轻而易举,qīng ér yì jǔ,形容事情容易做，不费力气。
人来人往,rén lái rén wǎng,人来来往往连续不断。也形容忙于应酬。
青山绿水,qīng shān lǜ shuǐ,泛称美好山河。
齐头并进,qí tóu bìng jìn,多方面同时前进。多形容几件事情或几项工作同时进行。
一筹莫展,yī chóu mò zhǎn,筹筹划、计谋；展施展。一点计策也施展不出，一点办法也想不出来。
百花齐放,bǎi huā qí fàng,形容百花盛开，丰富多彩。比喻各种不同形式和风格的艺术自由发展。也形容艺术界的繁荣景象。
各执一词,gè zhí yī cí,执坚持。各人坚持各人的说法。形容意见不一致。
志同道合,zhì tóng dào hé,道途径。志趣相同，意见一致。
绞尽脑汁,jiǎo jìn nǎo zhī,费尽脑筋。
首屈一指,shǒu qū yī zhǐ,首首先。扳指头计算，首先弯下大拇指，表示第一。指居第一位。引申为最好的。
水到渠成,shuǐ dào qú chéng,渠水道。水流到的地方自然形成一条水道。比喻条件成熟，事情自然会成功。
物美价廉,jià lián wù měi,廉便宜。东西价钱便宜，质量又好。
众说纷纭,zhòng shuō fēn yún,纷纭多而姑乱。人多嘴杂，议论纷纷。
各自为政,gè zì wéi zhèng,为政管理政事，泛指行事。各自按自己的主张办事，不互相配合。比喻不考虑全局，各搞一套。
语重心长,yǔ zhòng xīn cháng,话深刻有力，情意深长。
德才兼备,dé cái jiān bèi,德品德；才才能；备具备。既有好的思想品质，又有工作的才干和能力。
乐此不疲,lè cǐ bù pí,此这。因酷爱干某事而不感觉厌烦。形容对某事特别爱好而沉浸其中。
方兴未艾,fāng xīng wèi ài,方正在；兴兴起；艾停止。事物正在发展，尚未达到止境。
五颜六色,wǔ yán liù sè,形容色彩复杂或花样繁多。引伸为各色各样。
无动于衷,wú dòng yú zhōng,衷内心。心里一点儿也没有触动。指对应该关心、注意的事情毫不关心，置之不理。
锦上添花,jǐn shàng tiān huā,锦有彩色花纹的丝织品。在锦上再绣花。比喻好上加好，美上添美。
荒淫无度,huāng yín wú dù,荒荒唐；淫淫乱；度限度。形容征逐酒色，生活糜烂。
推陈出新,tuī chén chū xīn,指对旧的文化进行批判地继承，剔除其糟粕，吸取其精华，创造出新的文化。
畅通无阻,chàng tōng wú zǔ,毫无阻碍地通行或通过。
独树一帜,dú shù yī zhì,树立；帜旗帜。单独树起一面旗帜。比喻独特新奇，自成一家。
省吃俭用,shěng chī jiǎn yòng,形容生活简朴，吃用节俭。
无济于事,wú jì yú shì,济补益，帮助。对事情没有什么帮助或益处。比喻不解决问题。
情不自禁,qíng bù zì jìn,禁抑制。感情激动得不能控制。强调完全被某种感情所支配。
不足为奇,bù zú wéi qí,足值得。不值得奇怪。指某种事物或现象很平常，没有什么奇怪的。
忍无可忍,rěn wú kě rěn,再也忍受不下去了。
埋头苦干,mái tóu kǔ gàn,专心一意地刻苦工作。
郁郁葱葱,yù yù cōng cōng,形容草木苍翠茂盛。也形容气势美好蓬勃。
事半功倍,shì bàn gōng bèi,指做事得法，因而费力小，收效大。
不省人事,bù xǐng rén shì,省知觉。指昏迷过去，失去知觉。也指不懂人情世故。
分门别类,fēn mén bié lèi,分、别分辨、区别；门一般事物的分类；类许多相似或相同事物的综合。把一些事物按照特性和特征分别归入各种门类。
别出心裁,bié chū xīn cái,别另外；心裁心中的设计、筹划。另有一种构思或设计。指想出的办法与众不同。
明明白白,míng míng bái bái,清清楚楚，明确无误；正大光明。
热情洋溢,rè qíng yáng yì,热烈的感情充分地流露出来。
大张旗鼓,dà zhāng qí gǔ,张陈设，展示；旗鼓旗帜和战鼓。形容进攻的声势和规能大。也形容群众活动声势和规能大。
防不胜防,fáng bù shèng fáng,防防备；胜尽。形容防备不过来。
惊魂未定,jīng hún wèi dìng,指受惊后心情还没有平静下来。
蒙混过关,méng hùn guò guān,用欺骗的手段逃过关口。
错落有致,cuò luò yǒu zhì,错落参差不齐。致情趣。形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感。
一点一滴,yī diǎn yī dī,形容微小零星。
入不敷出,rù bù fū chū,敷够，足。收入不够支出。
我行我素,wǒ xíng wǒ sù,素平素，向来。不管人家怎样说，仍旧按照自己平素的一套去做。
深思熟虑,shēn sī shú lǜ,反复深入地考虑。
趋之若鹜,qū zhī ruò wù,趋快走；鹜野鸭。象鸭子一样成群跑过去。比喻很多人争着赶去。
无微不至,wú wēi bù zhì,微微细；至到。没有一处细微的地方不照顾到。形容关怀、照顾得非常细心周到。
溢于言表,yì yú yán biǎo,超出言语以外，指某种思想感情虽未说明却能使人体会出来。
车水马龙,chē shuǐ mǎ lóng,车象流水，马象游龙。形容来往车马很多，连续不断的热闹情景。
同心同德,tóng xīn tóng dé,同德为同一目的而努力。指思想统一，信念一致。
无所适从,wú suǒ shì cóng,适归向；从跟从。不知听从哪一个好。指不知怎么办才好。
变本加厉,biàn běn jiā lì,厉猛烈。指比原来更加发展。现指情况变得比本来更加严重。
壮士断腕,zhuàng shì duàn wàn,指勇士手腕被蝮蛇咬伤，就立即截断，以免毒性扩散全身。比喻作事要当机立断，不可迟疑、姑息。
雄心勃勃,xióng xīn bó bó,勃勃旺盛的样子。形容雄心很大，很有理想。
崭露头角,zhǎn lù tóu jiǎo,崭突出；露显露。头上的角已明显地突出来了。指初显露优异的才能。
以点带面,yǐ diǎn dài miàn,用一个单位或地方的成功经验来带动许多单位或成片地区的工作。
学以致用,xué yǐ zhì yòng,为了实际应用而学习。
心中有数,xīn zhōng yǒu shù,对情况和问题有基本的了解，处理事情有一定把握。
五湖四海,wǔ hú sì hǎi,指全国各地，有时也指世界各地。现有时也比喻广泛的团结。
审时度势,shěn shí duó shì,审仔细研究；时时局；度估计；势发展趋势。观察分析时势，估计情况的变化。
